State,County,Year,Field,FieldName,FieldID,GridID,Grid_org,Transects_n,TransectID,Transect_R,Trans_A,Trans_B,Strategy,PNM,FP,Damage,Area_ac,PlotID,Trt_n,Treatment,Ref_block,RepRefB,Pt_NPass,Sd_NPass,Hybrid,Tile,PreCrop,Tillage,FNR_lbac,rExN_lbac,rStN_lbac,pPreN_lbac,rPreN_lbac,pSidN_lbac,SidN_lbac,rSdN_lbac,pTotN_lbac,rTN_lbac,rTotN_kgha,rYl15_buac,rY15_mtha
IN,White,22,CH,Carter Home,CH_22,4,1,1,1,1,na,na,GR,0,0,0,0.41,1,8,40GR,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,60,60,134,132,131,224,221,248,206.3,13
IN,White,22,CH,Carter Home,CH_22,7,1,1,1,1,na,na,GR,0,0,0,0.54,1,8,40GR,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,60,58,116,115,116,206,203,228,173.6,10.9
IN,White,22,CH,Carter Home,CH_22,12,1,1,2,1,na,na,GR,0,0,0,0.41,1,8,40GR,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,60,59,116,116,115,206,203,229,220.4,13.9
IN,White,22,CH,Carter Home,CH_22,24,1,1,4,1,na,na,GR,0,0,0,0.41,1,8,40GR,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,60,59,116,114,115,206,204,229,220.6,13.9
IN,White,22,CH,Carter Home,CH_22,29,1,1,5,1,na,na,GR,0,0,0,0.41,1,8,40GR,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,60,59,116,116,116,206,205,231,219.4,13.8
IN,White,22,CH,Carter Home,CH_22,43,1,1,7,1,na,na,GR,0,0,0,0.41,1,8,40GR,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,60,63,116,116,116,206,209,235,227.5,14.3
IN,White,22,CH,Carter Home,CH_22,5,1,1,1,1,na,na,PNM,1,0,1,0.41,2,3,80,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,120,124,30,30,30,180,183,206,228.8,14.4
IN,White,22,CH,Carter Home,CH_22,8,1,1,1,1,na,na,PNM,1,0,1,0.54,2,3,80,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,120,119,30,30,29,180,178,200,206.6,13
IN,White,22,CH,Carter Home,CH_22,15,1,1,2,1,na,na,PNM,1,0,0,0.41,2,3,80,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,120,120,30,30,30,180,181,203,223.4,14.1
IN,White,22,CH,Carter Home,CH_22,26,1,1,4,1,na,na,PNM,1,0,1,0.41,2,3,80,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,120,119,30,28,29,180,178,200,221.4,13.9
IN,White,22,CH,Carter Home,CH_22,28,1,1,5,1,na,na,PNM,1,0,1,0.41,2,3,80,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,120,120,0,0,0,150,150,168,206.7,13
IN,White,22,CH,Carter Home,CH_22,45,1,1,7,1,na,na,PNM,1,0,1,0.41,2,3,80,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,120,121,24,29,22,174,173,195,223.2,14
IN,White,22,CH,Carter Home,CH_22,6,1,1,1,1,na,na,PNM,1,0,0,0.41,3,2,60,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,90,91,60,61,60,180,182,204,234.1,14.7
IN,White,22,CH,Carter Home,CH_22,9,1,1,1,1,na,na,PNM,1,0,0,0.54,3,2,60,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,90,92,60,60,57,180,179,201,232.8,14.6
IN,White,22,CH,Carter Home,CH_22,11,1,1,2,1,na,na,PNM,1,0,0,0.41,3,2,60,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,90,88,60,58,58,180,176,198,230.1,14.5
IN,White,22,CH,Carter Home,CH_22,23,1,1,4,1,na,na,PNM,1,0,0,0.41,3,2,60,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,90,90,60,58,58,180,179,201,230.5,14.5
IN,White,22,CH,Carter Home,CH_22,33,1,1,5,1,na,na,PNM,1,0,0,0.41,3,2,60,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,90,91,30,32,30,150,150,169,222.4,14
IN,White,22,CH,Carter Home,CH_22,42,1,1,7,1,na,na,PNM,1,0,0,0.41,3,2,60,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,90,83,60,59,63,180,176,198,220.5,13.9
IN,White,22,CH,Carter Home,CH_22,2,1,1,1,1,na,na,PNM,1,0,0,0.41,4,1,40,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,60,61,90,89,88,180,180,202,212.3,13.4
IN,White,22,CH,Carter Home,CH_22,14,1,1,2,1,na,na,PNM,1,0,0,0.41,4,1,40,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,60,60,90,90,91,180,181,203,225.6,14.2
IN,White,22,CH,Carter Home,CH_22,25,1,1,4,1,na,na,PNM,1,0,0,0.41,4,1,40,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,60,59,90,88,89,180,178,200,230,14.5
IN,White,22,CH,Carter Home,CH_22,32,1,1,5,1,na,na,PNM,1,0,0,0.41,4,1,40,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,60,59,60,60,60,150,149,167,205.7,12.9
IN,White,22,CH,Carter Home,CH_22,44,1,1,7,1,na,na,PNM,1,0,0,0.41,4,1,40,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,60,57,90,90,88,180,175,197,219.7,13.8
IN,White,22,CH,Carter Home,CH_22,1,1,1,1,1,na,na,PNM,1,0,0,0.21,5,5,120,0,0,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,180,182,0,0,0,210,212,238,190.5,12
IN,White,22,CH,Carter Home,CH_22,13,1,1,2,1,na,na,PNM,1,0,0,0.41,5,5,120,0,0,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,180,179,0,0,0,210,209,234,224.4,14.1
IN,White,22,CH,Carter Home,CH_22,27,1,1,4,1,na,na,PNM,1,0,0,0.41,5,5,120,0,0,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,180,182,0,0,0,210,212,238,242.9,15.3
IN,White,22,CH,Carter Home,CH_22,31,1,1,5,1,na,na,PNM,1,0,0,0.41,5,5,120,0,0,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,180,183,0,0,0,210,213,240,204,12.8
IN,White,22,CH,Carter Home,CH_22,41,1,1,7,1,na,na,PNM,1,0,0,0.41,5,5,120,0,0,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,180,187,0,0,0,210,217,244,218.1,13.7
IN,White,22,CH,Carter Home,CH_22,3,1,1,1,1,na,na,PNM,1,1,1,0.21,6,4,100,0,0,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,150,147,0,0,0,180,177,199,221.8,13.9
IN,White,22,CH,Carter Home,CH_22,10,1,1,2,1,na,na,PNM,1,1,0,0.41,6,4,100,0,0,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,150,152,0,0,0,180,182,204,217.7,13.7
IN,White,22,CH,Carter Home,CH_22,22,1,1,4,1,na,na,PNM,1,1,0,0.41,6,4,100,0,0,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,150,152,0,0,0,180,182,204,234.9,14.8
IN,White,22,CH,Carter Home,CH_22,30,1,1,5,1,na,na,PNM,1,1,1,0.41,6,4,100,0,0,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,150,152,0,0,0,180,182,204,200.6,12.6
IN,White,22,CH,Carter Home,CH_22,40,1,1,7,1,na,na,PNM,1,1,1,0.41,6,4,100,0,0,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,150,150,0,0,0,180,180,202,205.3,12.9
IN,White,22,CH,Carter Home,CH_22,49,1,1,8,0,na,na,PNM,1,0,0,0.21,7,1,40,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,60,69,90,92,99,180,198,222,204.2,12.8
IN,White,22,CH,Carter Home,CH_22,56,1,1,9,1,na,na,PNM,1,0,0,0.41,7,1,40,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,60,60,90,89,89,180,178,200,207.4,13
IN,White,22,CH,Carter Home,CH_22,67,1,1,11,1,na,na,PNM,1,0,0,0.41,7,1,40,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,60,61,90,90,90,180,181,203,204.4,12.9
IN,White,22,CH,Carter Home,CH_22,73,1,1,12,1,na,na,PNM,1,0,0,0.41,7,1,40,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,60,61,90,88,87,180,178,200,209.9,13.2
IN,White,22,CH,Carter Home,CH_22,85,1,1,14,1,na,na,PNM,1,0,0,0.41,7,1,40,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,60,62,90,92,92,180,184,206,212.8,13.4
