Year,CRD,County,Latitude,Longitude,a,b,c
2006,SW,Knox,38.74521394,-87.48169541,59.8132,0.5848,-1.35E-03
2008,SW,Knox,38.74521394,-87.48169541,52.186,0.9136,-1.81E-03
2011,SW,Knox,38.74521394,-87.48169541,81.5124,1.7006,-6.29E-03
2013,SW,Knox,38.74521394,-87.48169541,83.2491,1.6937,-7.57E-03
2007,SW,Knox,38.74849405,-87.48193145,64.551,0.4614,0.00E+00
2010,SW,Knox,38.74849405,-87.48193145,15.4087,2.8042,-9.36E-03
2014,SW,Knox,38.74849405,-87.48193145,45.1104,2.4553,-0.00851
2009,SW,Knox,38.74881201,-87.48452783,41.4784,1.0964,-2.22E-03
2006,SE,Jennings,39.03260275,-85.53578496,43.3493,1.1599,-2.78E-03
2008,SE,Jennings,39.03978632,-85.53082824,44.8293,1.3642,-3.55E-03
2010,SE,Jennings,39.03978632,-85.53082824,75.8587,1.1502,-2.12E-03
2012,SE,Jennings,39.03978632,-85.53082824,57.6448,0.6633,-1.81E-03
2014,SE,Jennings,39.03978632,-85.53082824,75.36,1.2577,-2.78E-03
2007,SE,Jennings,39.04346949,-85.52707314,112.6,0.9181,-3.24E-03
2009,SE,Jennings,39.04346949,-85.52707314,123.2,0.7883,-2.61E-03
2011,SE,Jennings,39.04346949,-85.52707314,24.6187,1.7521,-4.90E-03
2013,SE,Jennings,39.04346949,-85.52707314,61.3462,1.3479,-2.90E-03
2015,SE,Jennings,39.04346949,-85.52707314,64.9767,1.7577,-4.53E-03
2008,EC,Randolph,40.24032442,-85.14972925,68.2815,1.2713,-3.60E-03
2012,EC,Randolph,40.24032442,-85.14972925,64.7031,0.4428,-9.40E-04
2014,EC,Randolph,40.24032442,-85.14972925,-26.0901,1.5408,-2.66E-03
2014,EC,Randolph,40.24032442,-85.14972925,4.3425,0.621,0.00E+00
2006,EC,Randolph,40.24350198,-85.149858,41.8571,1.2197,-2.83E-03
2007,EC,Randolph,40.24589324,-85.14994383,60.7629,1.0563,-3.30E-03
2009,EC,Randolph,40.24589324,-85.14994383,76.4393,0.7387,-1.85E-03
2009,EC,Randolph,40.24589324,-85.14994383,62.8473,1.161,-2.96E-03
2011,EC,Randolph,40.24589324,-85.14994383,-8.3565,2.2936,-7.15E-03
2013,EC,Randolph,40.24589324,-85.14994383,-3.0701,1.6512,-3.49E-03
2015,EC,Randolph,40.24589324,-85.14994383,-36.49,1.372535714,-2.29E-03
2007,WC,Tippecanoe,40.26826214,-86.87759757,128.6,1.0215,-4.41E-03
2009,WC,Tippecanoe,40.26826214,-86.87759757,89.6036,1.6973,-5.70E-03
2011,WC,Tippecanoe,40.26826214,-86.87759757,93.7872,1.2643,-5.20E-03
2013,WC,Tippecanoe,40.26826214,-86.87759757,118.5,1.2209,-3.51E-03
2015,WC,Tippecanoe,40.26826214,-86.87759757,115.1,0.5956,-1.25E-03
2006,WC,Tippecanoe,40.27772494,-86.8632853,128.7,0.4815,-3.35E-03
2008,WC,Tippecanoe,40.27772494,-86.8632853,89.6576,1.5566,-4.45E-03
2012,WC,Tippecanoe,40.27772494,-86.8632853,80.6857,0.5,-6.32E-03
2014,WC,Tippecanoe,40.27772494,-86.8632853,111.6,0.9459,-2.96E-03
2007,WC,Tippecanoe,40.48428211,-87.00799584,94.0988,1.3091,-5.05E-03
